 "qseqid "," sseqid",pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
WP_010943369.1,k127_2941182_9,31.579,114,64,3,611,723,77,177,0.0000000181,58.2
WP_010943369.1,k127_3176829_5,25.49,357,168,18,376,709,94,375,0.0000000603,58.9
WP_010943369.1,k127_8742221_5,21.928,415,192,16,300,705,37,328,0.000000534,55.8
WP_010943365.1,k127_17980404_1,29.219,397,182,20,385,752,106,432,1.82E-21,103
WP_010943365.1,k127_17980404_1,21.961,724,368,32,80,729,127,727,5.12E-12,73.2
WP_010943365.1,k127_10299799_8,26.327,452,215,21,324,726,320,702,1.01E-18,94.7
WP_010943365.1,k127_11133209_4,26.077,418,222,16,343,726,199,563,2.86E-18,93.6
WP_010943365.1,k127_11133209_4,23.81,714,397,36,80,727,274,906,9.88E-16,85.1
WP_010943365.1,k127_23577461_8,27.089,395,183,20,377,735,84,409,7.1E-17,88.6
WP_010943365.1,k127_23577461_8,24.478,335,176,14,435,724,423,725,1.56E-12,74.7
WP_010943365.1,k127_3290624_1,21.72,686,374,30,100,729,8,586,1.01E-14,81.6
WP_010943365.1,k127_19828999_3,25.943,424,198,19,347,729,10,358,2.7E-14,79
WP_010943365.1,k127_7088665_1,25.693,397,203,21,385,752,578,911,1.56E-13,78.2
WP_010943365.1,k127_13945501_17,31.373,255,120,13,497,726,123,347,1.85E-13,76.3
WP_010943365.1,k127_8680681_1,31.621,253,115,14,501,726,146,367,2.03E-11,70.1
WP_010943365.1,k127_5396208_2,21.469,708,363,32,78,729,144,714,2.22E-10,67.8
WP_010943365.1,k127_5396208_2,23.601,411,181,24,385,752,90,410,0.000000517,57
WP_010943365.1,k127_2941182_9,32.456,114,63,3,635,747,77,177,0.0000000138,58.5
ABL63052.1,k127_13445563_5,43.39,295,142,7,258,540,41,322,5.59E-69,228
ABL63052.1,k127_3502745_3,35.38,342,193,7,213,540,1,328,6.98E-65,217
ABL63052.1,k127_2670903_10,37.838,333,173,8,228,540,23,341,1.31E-64,217
ABL63052.1,k127_16675363_7,38.226,327,176,7,228,540,37,351,9.67E-61,207
ABL63052.1,k127_2204079_17,38.255,298,153,5,266,540,38,327,9.33E-60,203
ABL63052.1,k127_9102173_27,40,245,134,5,305,540,80,320,6.64E-56,193
ABL63052.1,k127_2440087_6,39.416,274,150,5,275,540,30,295,2.45E-54,188
ABL63052.1,k127_6266844_2,35.621,306,156,7,267,540,31,327,7.48E-54,188
ABL63052.1,k127_12788378_62,42.857,245,126,5,305,540,84,323,1.05E-53,187
ABL63052.1,k127_5496044_111,42.449,245,127,5,305,540,90,329,3.94E-53,186
ABL63052.1,k127_4751676_2,39.024,287,144,10,272,540,38,311,1.34E-52,184
ABL63052.1,k127_1427271_13,38.591,298,152,10,264,540,30,317,1.65E-52,184
ABL63052.1,k127_19815685_15,39.676,247,135,4,303,540,66,307,1.77E-52,184
ABL63052.1,k127_10244952_14,37.627,295,149,8,266,535,41,325,2.17E-52,184
ABL63052.1,k127_4191120_47,40.081,247,126,5,303,536,66,303,3.04E-52,183
ABL63052.1,k127_23550268_102,34.395,314,181,5,239,540,20,320,3.24E-51,181
ABL63052.1,k127_11088180_2,37.943,282,151,7,271,540,46,315,1.09E-49,176
ABL63052.1,k127_7906142_39,37.838,333,166,11,228,540,1,312,5.76E-49,174
ABL63052.1,k127_5031830_7,35.786,299,167,7,249,535,25,310,8.34E-49,174
ABL63052.1,k127_19788715_29,36.585,287,143,10,270,534,27,296,1.45E-45,165
ABL63052.1,k127_16507027_19,38.934,244,130,6,302,535,97,331,8.42E-45,164
ABL63052.1,k127_4290087_2,34.639,332,158,12,237,534,10,316,1.66E-44,163
ABL63052.1,k127_12170756_4,34.495,287,162,11,270,536,52,332,6.24E-44,162
ABL63052.1,k127_5381003_6,35.855,304,145,10,252,534,24,298,1.78E-43,159
ABL63052.1,k127_12450471_2,33.754,317,157,10,239,534,15,299,1.36E-42,157
ABL63052.1,k127_932837_6,31.546,317,156,8,270,540,38,339,1.22E-38,147
ABL63052.1,k127_11133209_5,33.922,283,158,11,253,530,368,626,1.26E-32,135
ABL63052.1,k127_11133209_5,28.339,307,129,15,268,499,262,552,2.41E-16,85.9
ABL63052.1,k127_11133209_5,26.715,277,145,12,265,503,144,400,0.00000000228,63.5
ABL63052.1,k127_2582648_4,32.526,289,157,12,258,531,29,294,1.9E-30,124
ABL63052.1,k127_20173181_40,30.909,275,138,11,271,530,62,299,8.35E-26,110
ABL63052.1,k127_23194134_4,27.812,320,152,11,239,538,19,279,2.89E-24,105
ABL63052.1,k127_10299799_10,32.95,261,139,13,276,531,33,262,2.92E-24,105
ABL63052.1,k127_11428447_5,31.646,237,141,9,302,534,8,227,5.07E-22,98.2
ABL63052.1,k127_23143337_2,26.471,272,168,9,273,530,37,290,6.19E-19,91.3
ABL63052.1,k127_300917_7,26.95,282,175,9,261,531,20,281,4.69E-18,88.2
ABL63052.1,k127_8742221_3,28.253,269,170,9,273,530,59,315,2.94E-17,86.7
ABL63052.1,k127_5250351_5,25.503,298,188,8,239,533,249,515,6.42E-17,87.8
ABL63052.1,k127_5250351_5,27.273,264,152,11,276,533,430,659,2.5E-12,73.2
ABL63052.1,k127_5250351_5,31.111,225,98,12,350,532,209,418,9.27E-11,68.2
ABL63052.1,k127_5250351_5,30.719,153,97,7,351,499,67,214,1.04E-10,67.8
ABL63052.1,k127_5250351_5,30.89,191,113,9,346,526,111,292,0.00000000113,64.7
ABL63052.1,k127_5250351_5,26.923,260,134,10,297,525,129,363,0.00000000156,64.3
ABL63052.1,k127_24113731_7,26.74,273,169,11,273,530,40,296,1.64E-16,84
ABL63052.1,k127_12991654_7,26.592,267,148,10,269,525,206,434,7.76E-16,84.3
ABL63052.1,k127_12991654_7,31.288,163,103,7,341,499,205,362,6.29E-11,68.6
ABL63052.1,k127_12991654_7,30.464,151,98,5,350,499,48,192,1.34E-10,67.4
ABL63052.1,k127_12991654_7,27.737,274,159,12,230,499,218,456,2.02E-10,67
ABL63052.1,k127_12991654_7,29.851,201,108,10,308,501,380,554,0.0000000899,58.5
ABL63052.1,k127_12991654_7,31.098,164,103,7,341,499,442,600,0.000000223,57.4
ABL63052.1,k127_8336943_1,28.866,194,121,6,273,464,33,211,1.71E-15,79
ABL63052.1,k127_8289803_5,35.542,166,91,9,375,533,43,199,6.04E-15,80.1
ABL63052.1,k127_8289803_5,27.273,264,144,11,271,499,38,288,4.36E-13,74.3
ABL63052.1,k127_5250351_6,27.372,274,155,11,276,539,46,285,1.03E-14,79.7
ABL63052.1,k127_5250351_6,32.804,189,111,9,350,530,45,225,9.72E-13,73.6
ABL63052.1,k127_5250351_6,23.292,322,155,14,276,537,95,384,0.000000671,55.5
ABL63052.1,k127_15687356_32,28.077,260,145,12,277,530,45,268,1.14E-14,77.8
ABL63052.1,k127_17405474_2,28.767,219,119,8,308,525,33,215,1.43E-14,79.7
ABL63052.1,k127_17405474_2,28.253,269,157,10,276,532,122,366,2.33E-13,75.9
ABL63052.1,k127_17405474_2,29.268,205,117,12,301,488,226,419,0.000000742,55.5
ABL63052.1,k127_4101545_3,29.771,262,155,11,281,531,210,453,6.86E-14,78.2
ABL63052.1,k127_4101545_3,33.166,199,99,9,309,501,395,565,1.24E-11,70.9
ABL63052.1,k127_4101545_3,28.947,190,108,7,302,487,482,648,0.0000000925,58.5
ABL63052.1,k127_4101545_3,30.464,151,96,6,350,499,75,217,0.000000139,57.8
ABL63052.1,k127_5404759_6,32.275,189,104,7,346,524,30,204,6.9E-14,78.2
ABL63052.1,k127_5404759_6,30.041,243,124,12,276,499,228,443,6.31E-13,75.1
ABL63052.1,k127_5404759_6,27.703,296,170,16,265,525,279,565,3.11E-11,69.7
ABL63052.1,k127_5404759_6,26.087,276,144,13,276,524,176,418,0.000000078,58.5
ABL63052.1,k127_5404759_6,26.84,231,130,11,276,499,389,587,0.000000163,57.8
ABL63052.1,k127_11133209_6,29.289,239,131,11,263,479,35,257,2.23E-13,76.6
ABL63052.1,k127_15687356_31,29,200,127,9,337,531,218,407,2.63E-13,75.9
ABL63052.1,k127_15687356_31,33.333,156,92,5,374,524,65,213,6.05E-12,71.6
ABL63052.1,k127_15687356_31,30.435,161,99,6,346,500,272,425,0.00000000121,64.3
ABL63052.1,k127_15687356_31,23.226,310,174,10,238,525,229,496,0.00000000182,63.9
ABL63052.1,k127_15687356_30,38.318,107,56,5,400,500,320,422,5.19E-13,75.5
ABL63052.1,k127_15687356_30,27.341,267,143,16,274,533,40,262,2.09E-11,70.5
ABL63052.1,k127_15687356_30,27.957,186,110,10,349,524,227,398,1.29E-10,67.8
ABL63052.1,k127_15687356_30,31.176,170,91,7,337,487,306,468,4.72E-10,65.9
ABL63052.1,k127_22012286_6,28.814,236,130,10,260,489,421,624,1.16E-12,73.9
ABL63052.1,k127_22012286_6,25.909,220,133,7,306,524,229,419,2.04E-10,67
ABL63052.1,k127_22012286_6,30.964,197,107,9,350,524,136,325,6.55E-10,65.5
ABL63052.1,k127_22012286_6,27.083,192,111,7,331,501,5,188,0.00000000792,62
ABL63052.1,k127_22012286_6,26.437,261,143,12,276,525,390,612,0.000000572,55.8
ABL63052.1,k127_7101710_3,32.335,167,102,7,342,501,113,275,1.67E-12,73.2
ABL63052.1,k127_7101710_3,27.193,228,147,8,307,524,32,250,1.2E-10,67.4
ABL63052.1,k127_9103412_82,26.459,257,149,9,271,525,199,417,1.75E-12,73.6
ABL63052.1,k127_9103412_82,28.095,210,121,7,337,524,121,322,1.38E-11,70.9
ABL63052.1,k127_9103412_82,30.387,181,107,9,350,525,88,254,0.00000000245,63.5
ABL63052.1,k127_9103412_82,30.645,186,107,9,346,524,38,208,0.00000000408,62.8
ABL63052.1,k127_9103412_82,30.481,187,119,7,345,525,428,609,0.0000000161,60.8
ABL63052.1,k127_9103412_82,29.596,223,121,11,271,488,429,620,0.000000655,55.8
ABL63052.1,k127_5404759_7,32.143,196,109,12,345,531,23,203,3.22E-12,71.6
ABL63052.1,k127_5404759_7,27.751,209,118,7,346,527,165,367,0.00000000315,62.4
ABL63052.1,k127_7443526_6,31.613,155,95,7,350,498,208,357,3.42E-12,71.2
ABL63052.1,k127_9224311_9,31.633,196,113,11,338,524,66,249,3.54E-12,72.4
ABL63052.1,k127_9224311_9,29.936,157,97,7,349,499,123,272,3.43E-10,66.2
ABL63052.1,k127_21160714_8,25.11,227,123,7,301,501,561,766,8.62E-12,71.6
ABL63052.1,k127_21160714_8,29.688,192,116,9,345,527,86,267,9.38E-11,68.6
ABL63052.1,k127_21160714_8,26.538,260,166,11,276,524,592,837,0.00000000223,63.9
ABL63052.1,k127_21160714_8,31.707,164,99,8,344,501,299,455,0.00000000501,62.8
ABL63052.1,k127_21160714_8,25.606,289,159,12,272,524,162,430,0.00000000672,62.4
ABL63052.1,k127_21160714_8,24.786,234,159,9,272,499,88,310,0.00000044,56.6
ABL63052.1,k127_21160714_8,27.692,195,113,7,344,525,538,717,0.000000677,55.8
ABL63052.1,k127_21160714_8,30.38,158,99,7,347,499,445,596,0.000000861,55.5
ABL63052.1,k127_22012286_7,35.616,146,82,6,394,533,31,170,1.24E-11,70.1
ABL63052.1,k127_22012286_7,31.892,185,107,10,350,525,36,210,1.82E-10,66.6
ABL63052.1,k127_9422370_10,28.097,331,176,18,236,525,220,529,1.28E-11,70.9
ABL63052.1,k127_9422370_10,24.571,350,176,13,257,532,55,390,5.8E-10,65.5
ABL63052.1,k127_9422370_10,29.282,181,111,8,330,499,477,651,0.0000000141,61.2
ABL63052.1,k127_9422370_10,31.169,154,96,7,351,499,41,189,0.0000000497,59.3
ABL63052.1,k127_9422370_10,36.449,107,61,4,398,500,496,599,0.0000000807,58.5
ABL63052.1,k127_9422370_9,23.507,268,149,10,276,527,36,263,1.34E-11,70.1
ABL63052.1,k127_9422370_9,26.531,294,138,13,272,524,80,336,0.00000000307,62.8
ABL63052.1,k127_9422370_9,32.743,113,70,5,390,499,26,135,0.000000684,55.5
ABL63052.1,k127_8783066_9,34.028,144,82,7,398,534,82,219,1.37E-11,70.1
ABL63052.1,k127_8783066_9,26.943,193,108,7,338,499,117,307,0.000000247,56.6
ABL63052.1,k127_9103412_83,30.573,157,98,6,385,534,21,173,1.5E-11,70.1
ABL63052.1,k127_9103412_83,29.744,195,122,10,338,525,26,212,0.00000000326,62.8
ABL63052.1,k127_20841069_4,31.646,158,94,7,336,487,17,166,1.68E-11,68.6
ABL63052.1,k127_13708278_11,32.787,183,98,9,272,443,39,207,2.01E-11,67
ABL63052.1,k127_19881256_1,31.138,167,99,7,375,533,55,213,2.86E-11,68.6
ABL63052.1,k127_19881256_1,28.151,238,140,11,303,533,49,262,1.11E-10,66.6
ABL63052.1,k127_19881256_1,27.686,242,157,11,300,531,76,309,0.000000297,56.2
ABL63052.1,k127_6635005_6,28.099,242,141,11,294,530,31,244,4.35E-11,68.6
ABL63052.1,k127_6635005_6,24.138,319,162,15,266,537,101,386,0.000000147,57.4
ABL63052.1,k127_13615122_4,31.646,158,100,5,345,499,34,186,1.34E-10,67
ABL63052.1,k127_13615122_4,26.599,297,175,13,237,504,82,364,8.86E-10,64.3
ABL63052.1,k127_2440087_1,28.125,192,107,8,309,482,54,232,0.00000000122,63.9
ABL63052.1,k127_7443526_3,22.481,387,214,13,120,499,20,327,0.00000000153,63.5
ABL63052.1,k127_12991654_8,31.169,154,98,5,350,499,29,178,0.0000000047,62
ABL63052.1,k127_12991654_8,26.552,290,151,13,276,533,126,385,0.0000000124,60.8
ABL63052.1,k127_4525412_10,26.761,213,119,8,351,536,29,231,0.000000013,60.8
ABL63052.1,k127_4525412_10,26.087,230,130,11,274,499,27,220,0.000000221,57
ABL63052.1,k127_23059377_95,27.854,219,114,12,296,499,153,342,0.0000000204,59.7
ABL63052.1,k127_23059377_95,36.441,118,69,4,385,499,4,118,0.0000000658,58.2
ABL63052.1,k127_15448099_18,24.638,276,142,11,266,525,215,440,0.000000029,60.1
ABL63052.1,k127_8783066_8,31.21,157,85,9,356,499,124,270,0.0000000666,58.2
ABL63052.1,k127_16435159_16,29.268,164,95,6,344,487,84,246,0.0000000716,58.2
ABL63052.1,k127_4101545_2,26.4,250,144,12,276,504,135,365,0.0000000994,57.8
ABL63052.1,k127_4101545_2,30.435,138,90,4,391,525,31,165,0.000000153,57.4
ABL63052.1,k127_4101545_2,29.586,169,110,6,335,499,24,187,0.000000252,56.6
ABL63052.1,k127_4525412_8,32.317,164,97,8,341,502,91,242,0.000000151,56.6
ABL63052.1,k127_18384082_9,29.07,172,90,9,350,500,300,460,0.00000017,57.4
ABL63052.1,k127_18970943_2,24.481,241,133,9,309,525,279,494,0.000000659,55.8
AAR35452.1,k127_25854243_44,34.469,499,274,17,1,473,1,472,2.15E-70,234
AAR35452.1,k127_17653544_71,31.304,345,171,17,178,473,329,656,4.33E-24,108
AAR35452.1,k127_17653544_71,37.5,168,85,6,1,158,1,158,5.86E-20,96.3
