qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore									sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qseqid 	 sseqid	pident	length
WP_010943365.1	k127_6817189_1	29.032	248	133	11	504	729	1	227	1.89E-15	79.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_1253719_1	26.087	391	176	17	375	726	47	363	4.92E-15	82.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_1253719_1	26.619	278	135	13	333	583	330	565	0.00000000242	64.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_22780366_1	23.225	676	353	33	111	729	6	572	6.54E-15	82																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_10306324_3	25.858	437	223	19	321	729	318	681	6.87E-15	82																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_10306324_3	24.064	374	185	16	381	727	64	365	4.89E-10	66.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_5785405_6	26.027	438	211	20	332	729	363	727	1.12E-14	81.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_7089374_1	27.887	355	174	19	404	729	356	657	7.66E-14	79																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_7089374_1	26.26	377	176	16	376	726	21	321	5.39E-12	72.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_6383754_4	25.339	442	222	22	324	739	122	481	8.37E-12	71.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_7116884_1	24.924	329	182	16	376	682	73	358	4.17E-11	68.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_17744640_2	28.409	264	113	15	498	727	156	377	0.00000000484	62.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_17858216_9	25.474	369	185	20	385	726	65	370	0.0000000135	61.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
WP_010943365.1	k127_19495558_6	24.112	394	167	19	381	727	79	387	0.000000145	58.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_24451124_5	42.708	288	137	6	270	540	85	361	5.71E-66	221																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23593422_7	41.319	288	141	5	270	540	77	353	2.99E-63	213																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_20905029_1	39.789	284	147	5	270	540	72	344	3.05E-62	211																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_4340740_5	41.319	288	141	6	270	540	83	359	3.34E-62	211																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_6262847_8	38.226	327	176	7	228	540	37	351	9.3E-61	207																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_8252622_22	39.576	283	150	6	267	535	39	314	6.18E-57	196																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_24293248_48	40.408	245	133	5	305	540	78	318	1.62E-55	192																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_8274731_42	42.449	245	127	5	305	540	90	329	3.79E-53	186																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_10112999_2	40.217	276	141	7	276	540	33	295	1.7E-52	183																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_13681359_27	37.413	286	150	9	272	540	38	311	2.91E-51	180																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1124292_3	39.024	246	137	5	304	540	1	242	3.24E-50	175																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_11358726_2	35.806	310	174	9	239	535	17	314	6.46E-49	174																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1640769_6	36.77	291	137	8	270	534	27	296	3.42E-47	169																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_8127090_32	39.749	239	127	7	266	499	47	273	8.05E-47	173																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_12407605_4	37.591	274	153	5	276	540	35	299	1.35E-46	167																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_3204890_9	38.849	278	144	8	276	540	41	305	7.71E-46	166																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1283202_2	34.667	300	148	7	270	534	31	317	7.84E-46	166																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23166718_5	33.754	317	157	10	239	534	15	299	1.31E-42	157																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15986351_20	33.544	316	172	10	245	536	7	308	2.85E-42	156																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_18594597_1	33.681	288	163	8	272	540	30	308	7.66E-40	150																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_7981479_2	30.877	285	164	7	271	536	36	306	2.42E-36	140																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_9947094_2	32.819	259	142	12	276	531	23	252	6.96E-25	107																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_22601620_5	39.865	148	68	5	398	531	123	263	1.55E-24	106																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_22601620_5	29.949	197	116	8	267	460	55	232	9.33E-14	75.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_612552_4	34.94	166	89	3	387	538	114	274	2.86E-23	102																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_612552_4	29.592	196	114	9	267	458	57	232	2.27E-11	67.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_18124148_2	29.225	284	131	9	258	531	1	224	2.86E-22	99																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1473471_2	33.758	157	81	4	398	538	110	259	6.31E-21	95.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1473471_2	27.523	218	124	11	249	458	26	217	0.00000000325	61.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_9462437_2	26.712	292	180	10	250	530	18	286	1.27E-19	93.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_8471581_7	27.306	271	167	10	273	530	36	289	1.2E-18	90.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23815246_4	28.253	269	169	10	273	530	40	295	2.55E-18	89.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_541455_2	34.359	195	119	7	346	537	63	251	3.3E-18	90.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_541455_2	31.034	203	120	9	342	538	9	197	1.42E-15	82.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_541455_2	27.797	295	158	16	247	525	34	289	7.93E-12	70.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_541455_2	28.646	192	118	8	309	488	116	300	0.000000685	55.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_20782470_4	40.678	118	41	3	445	534	3	119	2.42E-17	81.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_3668800_76	26.74	273	169	11	273	530	40	296	1.58E-16	84																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	26.592	267	148	10	269	525	206	434	6.77E-16	84.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	31.288	163	103	7	341	499	205	362	5.74E-11	68.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	28.102	274	158	12	230	499	218	456	7.65E-11	68.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	30.464	151	98	5	350	499	48	192	1.25E-10	67.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	30.348	201	107	10	308	501	380	554	0.000000033	59.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_45	31.098	164	103	7	341	499	442	600	0.000000216	57.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_12	31.731	208	124	9	339	534	189	390	5.33E-15	81.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_12	32.461	191	109	12	346	525	346	527	6.27E-11	68.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_12	34.307	137	83	6	400	533	305	437	3.3E-10	66.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_12	31.492	181	110	10	351	525	39	211	0.00000000345	63.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_12	29.004	231	127	10	274	499	398	596	0.00000000655	62																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_13	33.974	156	93	6	349	499	35	185	9.95E-13	73.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_23631823_13	25.468	267	141	13	269	499	171	415	0.000000244	56.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_5	28.097	331	176	18	236	525	221	530	1.14E-11	70.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_5	24.571	350	176	13	257	532	56	391	5.07E-10	65.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_5	29.282	181	111	8	330	499	478	652	0.0000000127	61.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_5	31.169	154	96	7	351	499	42	190	0.0000000454	59.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_5	36.449	107	61	4	398	500	497	600	0.0000000731	58.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_24522098_2	29.167	192	124	8	338	524	64	248	3.76E-11	68.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_24522098_2	27.434	226	125	9	345	540	20	236	4.33E-11	68.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_1715470_5	29.221	154	99	5	302	454	63	207	6.62E-11	68.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_6	23.134	268	150	10	276	527	36	263	6.91E-11	67.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_6	26.531	294	138	13	272	524	80	336	0.000000002	63.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_15578178_6	32.743	113	70	5	390	499	26	135	0.000000657	55.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_4549443_3	29.386	228	129	8	302	524	279	479	1.52E-10	67.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_4549443_3	30.769	156	94	6	350	499	47	194	2.65E-10	66.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_4549443_3	29.299	157	84	6	346	501	185	315	0.00000000121	64.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_4549443_3	29.386	228	129	11	303	524	373	574	0.0000000109	61.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_3204890_10	26.984	189	115	6	302	477	69	247	5E-10	65.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_22298870_11	30	140	81	6	302	433	87	217	0.0000000012	62																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_46	31.169	154	98	5	350	499	29	178	0.00000000428	62																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_5625337_46	26.552	290	151	13	276	533	126	385	0.00000000511	62																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_89686_6	29.747	158	100	5	347	500	29	179	0.0000000202	59.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_22209921_3	33.043	115	59	5	399	499	21	131	0.0000000815	54.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_3291523_1	31.169	154	97	5	349	499	126	273	0.0000000981	58.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_22781034_58	27.632	152	97	6	345	488	26	172	0.000000208	56.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_13906517_31	25.238	210	126	6	342	527	380	582	0.000000362	56.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
ABL63052.1	k127_2849356_5	27.074	229	132	9	297	501	109	326	0.000000402	55.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
