Bin Id,Completeness,Contamination,# contigs,Largest contig,Total length,N50,L50
metabat_bin.346_sub,75.86,6.9,560,26498,2811356,6647,130
maxbin_bin.460,83.62,4.94,521,35087,2856572,6641,131
metadecoder_kaloevig.metadecoder.899_sub,76.72,7.24,418,34120,2491514,6601,111
metabat_bin.575_sub,65.52,0.31,421,26938,2187195,6564,106
metadecoder_kaloevig.metadecoder.240_sub,80.17,5.33,606,27893,3512684,6542,170
metabat_bin.151,79.31,4.23,757,35504,3608535,6299,174
maxbin_bin.519_sub,60.97,3.45,409,20400,2138875,6220,110
metabat_bin.32,94.83,0,544,29349,2602178,6176,135
metabat_bin.277,83.62,4.39,812,28933,3739573,6173,177
metabat_bin.147,89.34,5.33,869,39258,4054414,6133,193
maxbin_bin.167,71.79,0,527,29679,2764320,6096,136
maxbin_bin.157_sub,78.61,8.39,783,35065,4045895,6023,202
metabat_bin.514,95.69,4.78,1334,33580,6025953,5960,284
metabat_bin.450,65.36,3.45,711,31838,3421704,5933,193
metabat_bin.334_sub,90.42,4.39,456,29021,2170191,5878,114
metabat_bin.370,77.43,0.16,644,32595,3022491,5720,167
maxbin_bin.254_sub,72.24,8.46,1114,27275,5257833,5719,287
metabat_bin.83,81.9,4.31,509,29843,2282365,5665,126
maxbin_bin.404_sub,81.27,8.07,545,30340,2628776,5638,135
metabat_bin.243,86.05,1.72,915,32922,4052789,5454,219
vamb_S1C2946_sub,88.79,0,709,24270,3361719,5405,185
metadecoder_kaloevig.metadecoder.27_sub,87.07,9.8,777,30161,3832935,5365,222
metadecoder_kaloevig.metadecoder.1537_sub,64.97,3.45,229,53278,1147482,5240,66
metadecoder_kaloevig.metadecoder.775_sub,54.31,1.72,303,17446,1464189,5219,96
metabat_bin.507_sub,84.48,4.08,476,27362,2060375,5218,117
metadecoder_kaloevig.metadecoder.789,85.34,3.61,674,19778,3205384,5077,212
metadecoder_kaloevig.metadecoder.1007_sub,58.78,1.88,925,26758,4517181,5076,292
maxbin_bin.582,75.24,0.16,543,23900,2393720,4986,160
metadecoder_kaloevig.metadecoder.367_sub,71.24,3.79,684,26844,3254190,4952,217
metabat_bin.326,67.06,3.45,194,106439,844503,4903,38
maxbin_bin.73_sub,68.97,3.95,383,21465,1641029,4642,114
metabat_bin.496,70.82,7.05,162,11963,623695,4506,49
maxbin_bin.7_sub,54.98,0.86,663,30389,2762625,4500,193
metabat_bin.416_sub,81.82,1.72,513,25172,1979795,4398,151
metabat_bin.176,65.52,2.04,462,15545,1757486,4397,133
metabat_bin.416,81.82,1.72,515,25172,1985084,4394,152
metabat_bin.101,80.41,0.86,770,19729,2746577,4209,209
maxbin_bin.649,86.21,4.66,917,25041,3534295,4160,287
maxbin_bin.649_sub,86.21,4.66,905,25041,3473153,4100,283
metabat_bin.500_sub,72.81,6.19,760,15043,2695939,4023,224
metabat_bin.211_sub,56.11,7.68,901,29592,3187230,3928,248
maxbin_bin.605_sub,66.74,0.86,509,16232,1933996,3853,163
metabat_bin.218,86.05,6.27,1183,19581,4014990,3726,318
metabat_bin.40_sub,60.42,1.88,706,14760,2328096,3634,209
metabat_bin.442,64.24,1.72,872,23079,2878672,3615,264
metabat_bin.442_sub,64.24,1.72,871,23079,2870534,3602,264
metadecoder_kaloevig.metadecoder.195_sub,53.67,1.88,946,11181,3461521,3568,365
metadecoder_kaloevig.metadecoder.998_sub,55,0,231,9857,837638,3531,90
metadecoder_kaloevig.metadecoder.1476_sub,66.11,6.9,325,10759,1157968,3499,127
metabat_bin.221_sub,57.84,5.28,533,13641,1713744,3421,154
metabat_bin.355,66.51,1.88,121,11643,381070,3419,37
metabat_bin.46,66.93,1.72,861,11330,2718235,3378,277
metabat_bin.122,66.66,1.88,1099,16812,3443990,3342,338
metadecoder_kaloevig.metadecoder.22_sub,57.62,6.5,943,21583,3271530,3263,361
maxbin_bin.544_sub,69.44,8.65,635,15694,2061713,3198,217
metabat_bin.499,59.67,1.03,1073,10351,2984831,2989,345
metabat_bin.499_sub,59.67,1.03,1072,10351,2981273,2989,344
metabat_bin.493,51.72,0.85,912,14415,2606634,2951,298
metabat_bin.493_sub,51.72,0.85,908,14415,2588337,2938,297
metabat_bin.291,64.22,2.59,904,10236,2482533,2897,298
metabat_bin.291_sub,64.22,2.59,903,10236,2476902,2896,298
metabat_bin.303,80.97,9.48,922,10898,2564762,2887,302
metabat_bin.69,73.56,7.21,1590,26465,4406824,2861,498
metabat_bin.254,76.93,3.45,1217,12384,3343564,2849,406
metabat_bin.69_sub,73.56,7.21,1585,26465,4390982,2847,496
metabat_bin.483,57.45,6.35,570,10982,1565743,2839,188
metabat_bin.483_sub,57.45,6.35,569,10982,1561934,2839,187
metabat_bin.545,75.39,0.31,1471,12780,4025349,2812,484
metabat_bin.357_sub,54.31,7.76,1039,14017,2859979,2810,325
metabat_bin.556,51.65,0.16,503,10857,1379297,2799,163
metabat_bin.556_sub,51.65,0.16,498,10857,1356044,2774,162
metabat_bin.265_sub,67.95,0.31,817,12765,2197296,2736,265
metabat_bin.265,67.95,0.31,825,12765,2220217,2730,268
metabat_bin.119,58.62,3.21,1131,10712,2635059,2334,415
